dataset,model_type,size,measure,threshold,objective,LB,solution
GPQA,e5,small,seuclidean,p10,1.0,1,['id17']
GPQA_CHUNKED,nemotron,large,correlation,p80,1.0,1,['id359']
Omni-MATH,e5,small,correlation,p95,6.0,6,"['id142', 'id1085', 'id788', 'id3515', 'id2123', 'id4020']"
Omni-MATH_CHUNKED,qwen8b,large,correlation,p10,1.0,1,['id1084']
MMLU-Pro_NOCHUNK,qwen8b,large,cosine,p95,2.0,2,"['id3833', 'id1734']"
Omni-MATH_CHUNKED,qwen4b,large,cosine,p80,2.0,2,"['id1504', 'id1095']"
IFEval,gist,small,seuclidean,p20,1.0,1,['id2311']
MMLU-Pro,gist,small,seuclidean,p95,47.0,47,"['id10566', 'id1821', 'id2705', 'id8283', 'id10379', 'id5632', 'id10828', 'id10799', 'id11100', 'id9648', 'id3412', 'id3769', 'id10676', 'id10355', 'id10839', 'id12208', 'id4678', 'id2935', 'id4652', 'id3502', 'id12235', 'id6422', 'id9116', 'id1062', 'id7440', 'id10094', 'id10075', 'id2472', 'id7215', 'id2407', 'id3143', 'id4143', 'id7706', 'id8637', 'id11934', 'id6917', 'id3125', 'id5508', 'id3876', 'id9267', 'id5514', 'id3058', 'id9961', 'id3656', 'id5292', 'id3280', 'id3819']"
GPQA_CHUNKED,nemotron,large,correlation,p10,1.0,1,['id100']
GPQA,gist,small,seuclidean,p90,10.0,10,"['id26', 'id52', 'id86', 'id156', 'id170', 'id280', 'id286', 'id296', 'id380', 'id427']"
Omni-MATH_NOCHUNK,qwen4b,large,correlation,p10,1.0,1,['id1085']
GPQA_CHUNKED,nemotron,large,cosine,p50,1.0,1,['id244']
Omni-MATH_NOCHUNK,qwen8b,large,seuclidean,p90,1.0,1,['id3681']
GPQA_NOCHUNK,nemotron,large,cosine,p10,1.0,1,['id0']
Omni-MATH,bge,small,correlation,p20,1.0,1,['id2480']
Omni-MATH,e5,small,correlation,p10,1.0,1,['id1021']
IFEval_CHUNKED,qwen4b,large,correlation,p10,1.0,1,['id1000']
MMLU-Pro,gist,small,seuclidean,p80,5.0,5,"['id3412', 'id2935', 'id6872', 'id3143', 'id9961']"
GPQA_NOCHUNK,qwen4b,large,correlation,p10,1.0,1,['id118']
GPQA_CHUNKED,nemotron,large,correlation,p20,1.0,1,['id127']
IFEval,bge,small,cosine,p95,6.0,6,"['id1251', 'id1999', 'id2225', 'id2859', 'id2880', 'id3563']"
Omni-MATH_CHUNKED,nemotron,large,seuclidean,p80,2.0,2,"['id1277', 'id2829']"
MMLU-Pro_NOCHUNK,nemotron,large,cosine,p95,2.0,2,"['id4773', 'id4827']"
MMLU-Pro_NOCHUNK,nemotron,large,cosine,p20,1.0,1,['id1032']
GPQA,gist,small,correlation,p10,1.0,1,['id170']
MMLU-Pro_NOCHUNK,qwen4b,large,seuclidean,p50,1.0,1,['id2321']
MMLU-Pro,e5,small,cosine,p80,2.0,2,"['id3143', 'id889']"
Omni-MATH,e5,small,cosine,p50,2.0,2,"['id1009', 'id3515']"
Omni-MATH,bge,small,correlation,p80,2.0,2,"['id1002', 'id4346']"
GPQA,e5,small,correlation,p50,1.0,1,['id430']
Omni-MATH_CHUNKED,nemotron,large,seuclidean,p10,1.0,1,['id1002']
IFEval_CHUNKED,nemotron,large,seuclidean,p10,1.0,1,['id1019']
GPQA_CHUNKED,qwen8b,large,correlation,p95,2.0,2,"['id0', 'id344']"
IFEval_NOCHUNK,qwen8b,large,cosine,p10,1.0,1,['id1000']
IFEval_CHUNKED,nemotron,large,correlation,p80,1.0,1,['id2311']
MMLU-Pro,bge,small,correlation,p50,2.0,2,"['id10008', 'id5052']"
Omni-MATH,bge,small,cosine,p50,2.0,2,"['id1', 'id4346']"
GPQA_CHUNKED,qwen4b,large,correlation,p20,1.0,1,['id182']
GPQA_NOCHUNK,qwen8b,large,correlation,p50,1.0,1,['id122']
GPQA,e5,small,cosine,p50,1.0,1,['id430']
MMLU-Pro,e5,small,cosine,p50,2.0,2,"['id10008', 'id3280']"
Omni-MATH_CHUNKED,qwen8b,large,cosine,p90,1.0,1,['id3681']
GPQA,gist,small,seuclidean,p50,2.0,2,"['id363', 'id385']"
Omni-MATH_NOCHUNK,qwen8b,large,cosine,p10,1.0,1,['id1085']
IFEval,e5,small,correlation,p80,2.0,2,"['id1051', 'id3563']"
MMLU-Pro,gist,small,cosine,p20,2.0,2,"['id10029', 'id3058']"
IFEval_NOCHUNK,qwen8b,large,seuclidean,p20,1.0,1,['id1000']
MMLU-Pro,gist,small,correlation,p20,2.0,2,"['id10029', 'id3058']"
IFEval_CHUNKED,qwen4b,large,seuclidean,p95,2.0,2,"['id1108', 'id1999']"
GPQA_NOCHUNK,qwen4b,large,cosine,p95,2.0,2,"['id0', 'id344']"
IFEval_NOCHUNK,qwen8b,large,seuclidean,p95,1.0,1,['id1108']
IFEval_CHUNKED,qwen4b,large,cosine,p20,1.0,1,['id1000']
Omni-MATH_CHUNKED,nemotron,large,cosine,p50,1.0,1,['id2829']
GPQA_NOCHUNK,qwen4b,large,seuclidean,p80,2.0,2,"['id122', 'id201']"
MMLU-Pro,bge,small,correlation,p10,1.0,1,['id10449']
MMLU-Pro,bge,small,seuclidean,p20,1.0,1,['id4948']
MMLU-Pro_NOCHUNK,nemotron,large,correlation,p95,2.0,2,"['id4773', 'id4827']"
