dataset,model_type,size,seed,measure,threshold,objective,solution
Omni-MATH,e5,small,40,cosine,p10,1,[10]
GPQA,bge,small,40,correlation,p10,1,[17]
GPQA_NOCHUNK,qwen4b,large,20,euclidean,p10,1,[44]
Omni-MATH_CHUNKED,nemotron,large,50,euclidean,p90,3,"[900, 568, 553]"
IFEval_CHUNKED,nemotron,large,50,correlation,p80,1,[245]
Omni-MATH_NOCHUNK,qwen4b,large,50,correlation,p95,2,"[296, 648]"
IFEval_CHUNKED,nemotron,large,10,correlation,p95,24,"[245, 530, 196, 407, 367, 393, 331, 342, 23, 93, 34, 257, 36, 250, 425, 186, 455, 180, 179, 510, 470, 481, 505, 100]"
MMLU-Pro,qwen8b,large,20,correlation,p20,1,[276]
GPQA_CHUNKED,qwen8b,large,30,euclidean,p20,1,[20]
IFEval,bge,small,40,euclidean,p95,5,"[359, 222, 494, 185, 364]"
Omni-MATH_NOCHUNK,qwen8b,large,10,cosine,p90,1,[281]
Omni-MATH,e5,small,10,correlation,p90,3,"[137, 187, 904]"
GPQA,e5,small,10,cosine,p80,2,"[51, 106]"
IFEval_CHUNKED,nemotron,large,50,correlation,p90,2,"[2, 245]"
MMLU-Pro,nemotron,large,20,euclidean,p10,1,[2]
IFEval_NOCHUNK,qwen4b,large,10,cosine,p50,1,[19]
Omni-MATH_NOCHUNK,qwen4b,large,40,correlation,p10,1,[7]
IFEval_CHUNKED,qwen4b,large,10,euclidean,p10,1,[1]
Omni-MATH_CHUNKED,qwen8b,large,30,cosine,p90,1,[281]
Omni-MATH_CHUNKED,nemotron,large,10,cosine,p80,2,"[900, 854]"
IFEval,e5,small,50,cosine,p95,2,"[494, 359]"
MMLU-Pro,nemotron,large,20,cosine,p10,1,[2]
MMLU-Pro,e5,small,30,correlation,p95,6,"[572, 830, 728, 0, 0, 0]"
MMLU-Pro,nemotron,large,40,correlation,p10,1,[2]
GPQA_NOCHUNK,nemotron,large,10,cosine,p10,1,[1]
IFEval_CHUNKED,qwen8b,large,20,cosine,p10,1,[1]
Omni-MATH_CHUNKED,nemotron,large,10,cosine,p90,4,"[900, 568, 29, 314]"
Omni-MATH,gist,small,20,correlation,p80,4,"[19, 610, 773, 921]"
Omni-MATH_NOCHUNK,qwen4b,large,30,correlation,p50,1,[149]
GPQA_NOCHUNK,qwen8b,large,50,correlation,p80,1,[27]
IFEval,bge,small,20,cosine,p10,1,[109]
GPQA_NOCHUNK,nemotron,large,30,correlation,p20,1,[1]
Omni-MATH,gist,small,30,euclidean,p10,1,[121]
MMLU-Pro,nemotron,large,10,euclidean,p10,1,[2]
IFEval_NOCHUNK,nemotron,large,20,euclidean,p20,1,[109]
Omni-MATH_NOCHUNK,nemotron,large,10,correlation,p90,1,[906]
GPQA_CHUNKED,nemotron,large,10,cosine,p80,1,[358]
IFEval,gist,small,50,cosine,p80,2,"[20, 359]"
Omni-MATH_NOCHUNK,qwen8b,large,50,cosine,p10,1,[7]
GPQA_NOCHUNK,qwen4b,large,20,cosine,p10,1,[27]
Omni-MATH_CHUNKED,nemotron,large,50,cosine,p90,4,"[900, 568, 29, 314]"
Omni-MATH_CHUNKED,qwen8b,large,20,correlation,p10,1,[7]
MMLU-Pro,bge,small,30,correlation,p95,41,"[602, 996, 140, 205, 739, 690, 366, 766, 741, 843, 722, 830, 884, 26, 648, 820, 22, 69, 575, 172, 420, 705, 323, 314, 526, 494, 963, 546, 778, 288, 241, 718, 670, 763, 279, 401, 474, 603, 104, 619, 655]"
Omni-MATH_NOCHUNK,qwen8b,large,50,euclidean,p95,1,[281]
MMLU-Pro,qwen8b,large,20,euclidean,p80,1,[185]
GPQA_CHUNKED,qwen4b,large,40,cosine,p50,2,"[201, 301]"
GPQA_NOCHUNK,qwen8b,large,40,cosine,p80,1,[27]
Omni-MATH,gist,small,20,correlation,p95,22,"[68, 157, 279, 346, 449, 553, 580, 789, 0, 0, 4017, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
GPQA_NOCHUNK,qwen4b,large,40,correlation,p80,2,"[27, 343]"
IFEval_NOCHUNK,qwen4b,large,50,euclidean,p50,1,[19]
Omni-MATH,bge,small,30,euclidean,p95,4,"[277, 306, 582, 0]"
IFEval,gist,small,50,cosine,p90,3,"[245, 311, 359]"
GPQA,bge,small,50,cosine,p50,2,"[1, 443]"
IFEval,bge,small,10,cosine,p20,1,[109]
Omni-MATH_CHUNKED,nemotron,large,10,euclidean,p80,2,"[900, 568]"
GPQA_NOCHUNK,qwen4b,large,40,euclidean,p80,2,"[193, 201]"
IFEval_CHUNKED,qwen8b,large,20,euclidean,p95,1,[19]
Omni-MATH,e5,small,10,euclidean,p50,2,"[64, 498]"
MMLU-Pro,bge,small,30,correlation,p90,7,"[766, 884, 602, 575, 213, 884, 49]"
IFEval_CHUNKED,nemotron,large,40,correlation,p90,2,"[2, 245]"
MMLU-Pro,nemotron,large,10,correlation,p80,1,[221]
IFEval_NOCHUNK,nemotron,large,20,cosine,p10,1,[53]
Omni-MATH_NOCHUNK,nemotron,large,40,correlation,p90,1,[906]
MMLU-Pro,e5,small,40,euclidean,p50,2,"[5, 765]"
MMLU-Pro,nemotron,large,10,euclidean,p50,1,[8]
IFEval_CHUNKED,nemotron,large,50,correlation,p50,1,[15]
MMLU-Pro,bge,small,10,euclidean,p10,1,[22]
IFEval_NOCHUNK,qwen8b,large,40,euclidean,p80,1,[19]
IFEval,bge,small,20,correlation,p90,3,"[109, 359, 494]"
Omni-MATH_CHUNKED,nemotron,large,40,correlation,p50,1,[900]
GPQA,e5,small,50,euclidean,p10,1,[18]
Omni-MATH,bge,small,40,correlation,p50,2,"[1, 772]"
Omni-MATH,bge,small,20,cosine,p20,1,[19]
Omni-MATH,bge,small,10,correlation,p95,5,"[134, 306, 552, 573, 0]"
Omni-MATH,bge,small,20,correlation,p95,5,"[134, 306, 552, 573, 0]"
Omni-MATH_CHUNKED,nemotron,large,40,euclidean,p50,1,[32]
MMLU-Pro,nemotron,large,40,cosine,p50,1,[8]
MMLU-Pro,bge,small,30,euclidean,p95,30,"[602, 996, 739, 205, 843, 366, 722, 797, 26, 478, 884, 830, 820, 37, 373, 538, 39, 131, 582, 963, 763, 401, 104, 655, 670, 241, 109, 526, 546, 902]"
IFEval,bge,small,20,correlation,p20,1,[109]
Omni-MATH_CHUNKED,nemotron,large,10,correlation,p80,2,"[900, 854]"
MMLU-Pro,e5,small,10,euclidean,p10,1,[5]
IFEval_NOCHUNK,qwen4b,large,40,correlation,p50,1,[19]
MMLU-Pro,qwen8b,large,10,cosine,p50,1,[829]
MMLU-Pro,gist,small,20,euclidean,p50,2,"[602, 759]"
GPQA,gist,small,40,correlation,p10,1,[44]
Omni-MATH_NOCHUNK,qwen4b,large,50,correlation,p20,1,[7]
Omni-MATH_CHUNKED,qwen4b,large,20,euclidean,p90,2,"[5, 24]"
Omni-MATH,gist,small,10,cosine,p20,2,"[1, 460]"
Omni-MATH_CHUNKED,qwen8b,large,50,euclidean,p10,1,[7]
GPQA_NOCHUNK,nemotron,large,40,correlation,p20,1,[1]
Omni-MATH_CHUNKED,qwen8b,large,50,cosine,p90,1,[281]
GPQA_CHUNKED,qwen4b,large,20,correlation,p80,2,"[1, 343]"
Omni-MATH_CHUNKED,nemotron,large,30,cosine,p90,4,"[900, 568, 29, 314]"
Omni-MATH,bge,small,30,cosine,p80,2,"[12, 772]"
Omni-MATH_NOCHUNK,qwen8b,large,30,cosine,p20,1,[7]
Omni-MATH_CHUNKED,nemotron,large,30,correlation,p80,2,"[900, 854]"
MMLU-Pro,e5,small,10,correlation,p50,2,"[5, 624]"
Omni-MATH,e5,small,20,correlation,p80,2,"[3, 187]"
GPQA,gist,small,30,correlation,p50,2,"[11, 362]"
Omni-MATH_CHUNKED,nemotron,large,40,cosine,p90,4,"[900, 568, 29, 314]"
GPQA_NOCHUNK,qwen4b,large,50,cosine,p80,2,"[27, 343]"
GPQA_NOCHUNK,qwen8b,large,30,euclidean,p95,2,"[1, 27]"
GPQA,gist,small,50,euclidean,p10,1,[44]
Omni-MATH,e5,small,40,correlation,p95,6,"[187, 551, 157, 904, 839, 657]"
IFEval_CHUNKED,qwen8b,large,50,cosine,p10,1,[1]
MMLU-Pro,qwen4b,large,10,euclidean,p80,2,"[705, 842]"
Omni-MATH_NOCHUNK,qwen8b,large,30,correlation,p50,1,[59]
GPQA_CHUNKED,qwen8b,large,20,correlation,p50,1,[27]
IFEval,gist,small,20,cosine,p95,8,"[359, 245, 323, 140, 430, 516, 494, 464]"
GPQA,gist,small,30,euclidean,p90,10,"[9, 31, 53, 87, 113, 379, 2033, 0, 742580480, 32567]"
GPQA_NOCHUNK,qwen4b,large,50,cosine,p10,1,[27]
GPQA,e5,small,10,euclidean,p50,1,[429]
GPQA_NOCHUNK,nemotron,large,30,cosine,p20,1,[1]
IFEval_NOCHUNK,nemotron,large,10,correlation,p50,2,"[1, 109]"
GPQA,gist,small,40,correlation,p50,2,"[11, 362]"
IFEval,gist,small,20,correlation,p80,2,"[20, 359]"
GPQA_CHUNKED,nemotron,large,50,euclidean,p20,1,[16]
MMLU-Pro,gist,small,30,euclidean,p80,5,"[140, 423, 545, 799, 0]"
Omni-MATH_NOCHUNK,qwen4b,large,50,cosine,p50,1,[149]
Omni-MATH,e5,small,10,cosine,p80,2,"[3, 187]"
IFEval_CHUNKED,qwen4b,large,40,correlation,p20,1,[1]
MMLU-Pro,bge,small,20,cosine,p50,2,"[4, 902]"
IFEval,gist,small,40,euclidean,p90,3,"[245, 282, 359]"
GPQA_CHUNKED,qwen8b,large,30,correlation,p80,1,[27]
IFEval_CHUNKED,nemotron,large,50,correlation,p10,1,[5]
Omni-MATH_CHUNKED,qwen4b,large,50,correlation,p20,1,[7]
Omni-MATH_CHUNKED,qwen8b,large,10,cosine,p95,2,"[1, 281]"
MMLU-Pro,qwen4b,large,50,euclidean,p95,2,"[13, 705]"
Omni-MATH_NOCHUNK,qwen8b,large,30,euclidean,p90,1,[281]
GPQA,e5,small,10,euclidean,p80,3,"[93, 229, 429]"
Omni-MATH,bge,small,20,euclidean,p20,1,[19]
GPQA_NOCHUNK,qwen4b,large,30,cosine,p90,2,"[1, 27]"
IFEval_NOCHUNK,nemotron,large,30,euclidean,p95,13,"[109, 185, 212, 312, 424, 280, 459, 517, 316, 6, 349, 462, 78]"
GPQA_NOCHUNK,qwen4b,large,50,correlation,p95,2,"[1, 343]"
Omni-MATH_CHUNKED,qwen4b,large,40,euclidean,p20,1,[7]
IFEval_CHUNKED,nemotron,large,20,correlation,p90,2,"[2, 245]"
Omni-MATH_NOCHUNK,nemotron,large,30,euclidean,p20,1,[10]
Omni-MATH,bge,small,30,correlation,p10,1,[19]
GPQA,bge,small,10,correlation,p20,1,[214]
GPQA,gist,small,30,euclidean,p80,4,"[9, 87, 282, 0]"
GPQA,gist,small,40,correlation,p95,38,"[426, 379, 87, 286, 351, 296, 280, 282, 299, 9, 31, 443, 61, 170, 228, 53, 196, 303, 384, 214, 156, 421, 442, 174, 216, 7, 15, 435, 99, 202, 374, 370, 122, 27, 234, 204, 329, 230]"
IFEval_CHUNKED,qwen4b,large,30,correlation,p20,1,[1]
Omni-MATH,bge,small,10,euclidean,p80,2,"[3, 772]"
Omni-MATH,bge,small,40,correlation,p80,2,"[12, 772]"
Omni-MATH_NOCHUNK,nemotron,large,50,euclidean,p95,1,[906]
Omni-MATH_NOCHUNK,nemotron,large,30,correlation,p20,1,[10]
Omni-MATH,e5,small,30,cosine,p10,1,[10]
MMLU-Pro,gist,small,30,cosine,p90,15,"[140, 563, 766, 1, 423, 602, 128, 709, 335, 745, 750, 0, 0, 0, 1873]"
IFEval_CHUNKED,qwen8b,large,10,correlation,p10,1,[1]
GPQA_NOCHUNK,qwen4b,large,30,cosine,p80,2,"[27, 343]"
Omni-MATH,e5,small,30,correlation,p90,3,"[137, 187, 904]"
Omni-MATH_CHUNKED,qwen4b,large,30,correlation,p20,1,[7]
GPQA_NOCHUNK,qwen4b,large,20,euclidean,p90,2,"[4, 201]"
Omni-MATH_NOCHUNK,qwen4b,large,10,euclidean,p90,2,"[5, 24]"
Omni-MATH,e5,small,10,cosine,p20,1,[136]
MMLU-Pro,e5,small,20,euclidean,p10,1,[5]
Omni-MATH_NOCHUNK,qwen4b,large,50,euclidean,p80,1,[149]
GPQA_CHUNKED,qwen8b,large,50,euclidean,p95,2,"[4, 201]"
Omni-MATH_CHUNKED,qwen4b,large,20,correlation,p80,2,"[15, 24]"
GPQA_CHUNKED,nemotron,large,40,cosine,p50,1,[244]
IFEval,e5,small,20,euclidean,p50,1,[359]
Omni-MATH,e5,small,10,cosine,p90,3,"[137, 187, 904]"
MMLU-Pro,qwen8b,large,10,correlation,p50,1,[829]
MMLU-Pro,gist,small,40,euclidean,p90,17,"[799, 140, 213, 260, 646, 486, 506, 602, 321, 874, 867, 867, 335, 352, 1425, 0, 346280048]"
GPQA,gist,small,10,cosine,p80,4,"[34, 87, 282, 0]"
Omni-MATH_CHUNKED,qwen4b,large,40,correlation,p50,1,[149]
MMLU-Pro,qwen4b,large,40,correlation,p80,2,"[8, 829]"
MMLU-Pro,e5,small,10,euclidean,p50,2,"[5, 765]"
GPQA_CHUNKED,nemotron,large,40,euclidean,p10,1,[15]
Omni-MATH_NOCHUNK,qwen4b,large,10,correlation,p50,1,[149]
GPQA,gist,small,50,correlation,p80,4,"[34, 87, 282, 0]"
GPQA_NOCHUNK,qwen8b,large,50,cosine,p80,1,[27]
Omni-MATH_NOCHUNK,nemotron,large,10,cosine,p20,1,[10]
GPQA_CHUNKED,qwen8b,large,10,cosine,p10,1,[27]
Omni-MATH_NOCHUNK,qwen8b,large,40,cosine,p95,2,"[1, 281]"
IFEval,bge,small,30,cosine,p90,3,"[222, 494, 196]"
Omni-MATH_NOCHUNK,qwen8b,large,40,euclidean,p95,1,[281]
Omni-MATH_CHUNKED,qwen8b,large,40,euclidean,p10,1,[7]
MMLU-Pro,gist,small,30,cosine,p95,52,"[602, 140, 506, 545, 709, 996, 798, 799, 651, 1, 274, 841, 458, 745, 900, 730, 342, 334, 643, 907, 927, 874, 492, 194, 464, 702, 667, 756, 670, 893, 660, 588, 655, 216, 433, 603, 401, 109, 375, 40, 43, 279, 564, 288, 966, 486, 254, 521, 346, 211, 423, 981]"
GPQA,e5,small,50,correlation,p80,2,"[51, 106]"
IFEval_NOCHUNK,qwen4b,large,10,euclidean,p80,1,[19]
GPQA_CHUNKED,nemotron,large,20,correlation,p10,1,[15]
Omni-MATH_NOCHUNK,qwen8b,large,10,correlation,p10,1,[7]
Omni-MATH_CHUNKED,qwen4b,large,50,euclidean,p80,1,[149]
Omni-MATH_NOCHUNK,nemotron,large,40,cosine,p10,1,[10]
Omni-MATH,e5,small,50,cosine,p10,1,[10]
GPQA_CHUNKED,qwen4b,large,20,cosine,p50,2,"[201, 301]"
IFEval_NOCHUNK,nemotron,large,10,cosine,p95,14,"[109, 185, 312, 212, 424, 280, 459, 517, 316, 362, 349, 403, 462, 78]"
IFEval_CHUNKED,qwen4b,large,30,cosine,p90,1,[185]
Omni-MATH_NOCHUNK,qwen4b,large,40,cosine,p80,2,"[15, 24]"
MMLU-Pro,qwen4b,large,40,euclidean,p95,2,"[13, 705]"
Omni-MATH_NOCHUNK,qwen4b,large,50,cosine,p90,2,"[24, 86]"
Omni-MATH_NOCHUNK,nemotron,large,30,euclidean,p10,1,[10]
IFEval_CHUNKED,qwen4b,large,10,euclidean,p20,1,[19]
Omni-MATH_NOCHUNK,nemotron,large,40,correlation,p20,1,[10]
GPQA,bge,small,30,cosine,p80,3,"[87, 286, 443]"
MMLU-Pro,e5,small,50,euclidean,p20,1,[5]
MMLU-Pro,nemotron,large,50,cosine,p50,1,[8]
IFEval_NOCHUNK,nemotron,large,20,correlation,p20,1,[109]
Omni-MATH_CHUNKED,nemotron,large,50,euclidean,p20,1,[32]
MMLU-Pro,bge,small,50,euclidean,p20,1,[696]
MMLU-Pro,nemotron,large,40,euclidean,p95,2,"[96, 739]"
IFEval_NOCHUNK,qwen8b,large,10,cosine,p90,1,[185]
IFEval_CHUNKED,qwen8b,large,20,cosine,p20,1,[1]
GPQA_CHUNKED,nemotron,large,20,cosine,p10,1,[15]
Omni-MATH_CHUNKED,qwen4b,large,50,correlation,p80,2,"[15, 24]"
Omni-MATH_NOCHUNK,qwen8b,large,10,euclidean,p20,1,[7]
Omni-MATH_NOCHUNK,qwen8b,large,20,euclidean,p90,1,[281]
GPQA_CHUNKED,nemotron,large,40,cosine,p95,1,[358]
MMLU-Pro,nemotron,large,30,cosine,p95,2,"[96, 739]"
IFEval,gist,small,10,cosine,p90,3,"[245, 311, 359]"
GPQA,bge,small,40,euclidean,p95,38,"[286, 56, 443, 384, 428, 268, 95, 289, 31, 55, 153, 228, 133, 94, 298, 433, 79, 325, 329, 58, 41, 370, 37, 97, 308, 291, 427, 277, 167, 176, 194, 408, 216, 274, 417, 264, 226, 237]"
GPQA,e5,small,40,correlation,p20,1,[429]
Omni-MATH_CHUNKED,nemotron,large,40,correlation,p20,1,[32]
IFEval_CHUNKED,qwen4b,large,30,correlation,p90,1,[227]
Omni-MATH,gist,small,10,euclidean,p95,20,"[921, 19, 136, 427, 431, 422, 319, 583, 773, 68, 922, 925, 0, 0, 481, 0, 490959376, 32520, 490959376, 32520]"
MMLU-Pro,nemotron,large,20,euclidean,p95,2,"[96, 739]"
GPQA,gist,small,40,cosine,p90,14,"[379, 426, 286, 87, 182, 53, 82, 156, 27, 204, 202, 170, 244, 280]"
GPQA,gist,small,10,euclidean,p95,31,"[379, 286, 299, 170, 426, 282, 87, 196, 362, 9, 228, 296, 153, 300, 383, 53, 374, 156, 174, 122, 442, 115, 138, 375, 250, 370, 202, 27, 99, 329, 204]"
MMLU-Pro,qwen8b,large,50,correlation,p90,2,"[626, 620]"
IFEval_NOCHUNK,nemotron,large,40,euclidean,p95,13,"[109, 185, 212, 312, 424, 280, 459, 517, 316, 6, 349, 462, 78]"
MMLU-Pro,gist,small,50,cosine,p50,2,"[799, 423]"
Omni-MATH_CHUNKED,nemotron,large,10,cosine,p95,16,"[900, 568, 854, 352, 729, 2, 381, 456, 447, 962, 964, 859, 967, 562, 838, 314]"
IFEval_CHUNKED,qwen4b,large,50,cosine,p90,1,[185]
Omni-MATH,gist,small,50,correlation,p50,2,"[11, 773]"
GPQA,e5,small,20,euclidean,p90,6,"[51, 351, 429, 229, 18, 429]"
MMLU-Pro,qwen4b,large,10,correlation,p10,1,[9]
MMLU-Pro,gist,small,30,cosine,p10,2,"[1, 798]"
IFEval_NOCHUNK,qwen8b,large,20,correlation,p80,1,[19]
Omni-MATH_CHUNKED,qwen4b,large,30,euclidean,p50,1,[71]
GPQA_NOCHUNK,qwen4b,large,10,correlation,p10,1,[27]
GPQA_NOCHUNK,qwen4b,large,20,euclidean,p50,1,[201]
MMLU-Pro,gist,small,40,cosine,p50,2,"[651, 996]"
GPQA_CHUNKED,qwen4b,large,30,euclidean,p80,2,"[193, 201]"
MMLU-Pro,bge,small,40,cosine,p10,1,[22]
IFEval,gist,small,20,correlation,p50,2,"[121, 359]"
Omni-MATH_CHUNKED,nemotron,large,20,correlation,p90,4,"[900, 568, 29, 314]"
IFEval_CHUNKED,nemotron,large,20,correlation,p95,24,"[245, 530, 196, 407, 367, 393, 331, 342, 23, 93, 34, 257, 36, 250, 425, 186, 455, 180, 179, 510, 470, 481, 505, 100]"
MMLU-Pro,bge,small,30,cosine,p50,2,"[4, 902]"
IFEval_NOCHUNK,nemotron,large,10,correlation,p90,6,"[459, 316, 275, 517, 109, 185]"
MMLU-Pro,qwen8b,large,40,euclidean,p10,1,[4]
MMLU-Pro,bge,small,20,cosine,p10,1,[22]
IFEval,bge,small,10,euclidean,p90,3,"[109, 359, 494]"
GPQA_NOCHUNK,qwen8b,large,30,cosine,p10,1,[27]
IFEval_CHUNKED,qwen4b,large,50,correlation,p50,1,[19]
Omni-MATH_CHUNKED,qwen8b,large,20,correlation,p20,1,[7]
GPQA_CHUNKED,nemotron,large,10,correlation,p90,1,[358]
IFEval,e5,small,10,cosine,p50,1,[359]
MMLU-Pro,e5,small,10,correlation,p95,6,"[572, 830, 728, 0, 0, 0]"
IFEval_NOCHUNK,qwen4b,large,10,correlation,p95,1,[227]
MMLU-Pro,nemotron,large,10,cosine,p80,1,[221]
IFEval,e5,small,40,correlation,p50,1,[359]
Omni-MATH,bge,small,40,cosine,p10,1,[19]
IFEval_NOCHUNK,nemotron,large,30,cosine,p10,1,[53]
GPQA_NOCHUNK,nemotron,large,30,correlation,p95,21,"[257, 320, 196, 1, 412, 435, 425, 114, 308, 219, 290, 15, 402, 278, 324, 398, 98, 300, 251, 84, 42]"
Omni-MATH,bge,small,10,cosine,p80,2,"[12, 772]"
GPQA_CHUNKED,nemotron,large,10,correlation,p10,1,[15]
IFEval_CHUNKED,qwen8b,large,50,cosine,p95,1,[185]
IFEval,e5,small,30,euclidean,p90,2,"[44, 494]"
Omni-MATH_CHUNKED,qwen8b,large,50,euclidean,p95,1,[281]
GPQA,gist,small,10,correlation,p90,14,"[379, 426, 286, 87, 182, 53, 82, 156, 27, 204, 202, 170, 244, 280]"
MMLU-Pro,qwen8b,large,50,euclidean,p90,1,[460]
IFEval,bge,small,40,cosine,p90,3,"[222, 494, 196]"
GPQA,gist,small,20,euclidean,p50,2,"[102, 286]"
IFEval_CHUNKED,qwen4b,large,30,correlation,p95,1,[227]
GPQA,gist,small,10,correlation,p80,4,"[34, 87, 282, 0]"
IFEval,gist,small,40,correlation,p90,3,"[245, 311, 359]"
IFEval_CHUNKED,qwen4b,large,10,cosine,p90,1,[185]
IFEval_CHUNKED,qwen8b,large,20,euclidean,p20,1,[1]
Omni-MATH_NOCHUNK,nemotron,large,40,euclidean,p90,1,[906]
IFEval_CHUNKED,nemotron,large,50,cosine,p20,1,[9]
Omni-MATH,gist,small,30,correlation,p50,2,"[11, 773]"
Omni-MATH_CHUNKED,qwen4b,large,30,correlation,p10,1,[7]
MMLU-Pro,e5,small,20,correlation,p20,1,[5]
GPQA_NOCHUNK,qwen4b,large,20,euclidean,p80,2,"[193, 201]"
GPQA_CHUNKED,qwen8b,large,20,correlation,p90,1,[343]
IFEval_NOCHUNK,qwen8b,large,50,euclidean,p95,1,[19]
GPQA_CHUNKED,qwen8b,large,10,euclidean,p50,1,[27]
GPQA_CHUNKED,qwen8b,large,50,cosine,p20,1,[27]
MMLU-Pro,gist,small,50,correlation,p10,2,"[1, 798]"
Omni-MATH_NOCHUNK,qwen8b,large,20,euclidean,p95,1,[281]
MMLU-Pro,bge,small,10,euclidean,p90,7,"[602, 766, 884, 722, 575, 884, 49]"
Omni-MATH,e5,small,30,euclidean,p20,1,[121]
MMLU-Pro,gist,small,50,euclidean,p80,5,"[140, 423, 545, 799, 0]"
GPQA_NOCHUNK,qwen8b,large,30,correlation,p90,1,[27]
IFEval,gist,small,10,cosine,p80,2,"[20, 359]"
IFEval,bge,small,30,cosine,p95,6,"[359, 222, 494, 185, 313, 364]"
MMLU-Pro,qwen4b,large,30,correlation,p50,2,"[46, 829]"
GPQA,gist,small,20,correlation,p90,14,"[379, 426, 286, 87, 182, 53, 82, 156, 27, 204, 202, 170, 244, 280]"
GPQA_NOCHUNK,qwen8b,large,30,correlation,p80,1,[27]
IFEval_NOCHUNK,nemotron,large,20,correlation,p95,14,"[109, 185, 312, 212, 424, 280, 459, 517, 316, 362, 349, 403, 78, 462]"
Omni-MATH,bge,small,40,cosine,p50,2,"[1, 772]"
IFEval_NOCHUNK,nemotron,large,20,cosine,p50,2,"[1, 109]"
Omni-MATH_NOCHUNK,qwen4b,large,30,cosine,p20,1,[7]
GPQA,gist,small,10,correlation,p20,2,"[2, 31]"
IFEval,bge,small,10,cosine,p50,1,[359]
IFEval_CHUNKED,qwen4b,large,20,correlation,p50,1,[19]
MMLU-Pro,qwen4b,large,50,euclidean,p80,2,"[705, 842]"
IFEval_NOCHUNK,qwen8b,large,20,euclidean,p90,1,[19]
IFEval_CHUNKED,qwen8b,large,20,correlation,p95,1,[185]
IFEval_NOCHUNK,nemotron,large,50,cosine,p90,6,"[459, 316, 462, 517, 109, 185]"
IFEval,gist,small,40,correlation,p80,2,"[20, 359]"
IFEval_NOCHUNK,nemotron,large,30,correlation,p80,3,"[6, 109, 312]"
GPQA,e5,small,30,cosine,p95,24,"[106, 289, 229, 424, 429, 351, 51, 244, 257, 31, 295, 18, 234, 340, 65, 444, 235, 365, 71, 160, 423, 145, 417, 407]"
MMLU-Pro,e5,small,30,cosine,p95,6,"[572, 830, 728, 0, 0, 0]"
Omni-MATH_CHUNKED,nemotron,large,50,euclidean,p80,2,"[900, 568]"
GPQA_NOCHUNK,nemotron,large,40,euclidean,p95,20,"[257, 343, 1, 412, 333, 435, 425, 98, 402, 324, 42, 114, 15, 163, 308, 398, 251, 278, 290, 196]"
IFEval_CHUNKED,qwen8b,large,50,euclidean,p90,1,[19]
GPQA_NOCHUNK,qwen8b,large,40,euclidean,p90,1,[201]
IFEval_CHUNKED,qwen4b,large,50,euclidean,p20,1,[19]
MMLU-Pro,bge,small,10,cosine,p20,1,[696]
IFEval,e5,small,50,euclidean,p50,1,[359]
Omni-MATH,bge,small,50,correlation,p10,1,[19]
IFEval_NOCHUNK,qwen4b,large,10,cosine,p80,1,[185]
GPQA_CHUNKED,qwen8b,large,50,cosine,p80,1,[27]
GPQA_NOCHUNK,qwen4b,large,40,cosine,p80,2,"[27, 343]"
IFEval,gist,small,30,cosine,p50,2,"[121, 359]"
