dataset,model_type,size,measure,threshold,greedy_objective,greedy_solution,cplex_objective,cplex_solution
GPQA,e5,small,seuclidean,p10,1,['id17'],1.0,['id17']
GPQA_CHUNKED,nemotron,large,correlation,p80,1,['id359'],1.0,['id359']
Omni-MATH,e5,small,correlation,p95,78,"['id1367', 'id841', 'id1085', 'id2123', 'id1161', 'id3203', 'id3911', 'id453', 'id4133', 'id775', 'id3433', 'id2938', 'id1242', 'id345', 'id3959', 'id72', 'id2475', 'id4098', 'id2535', 'id3409', 'id2151', 'id751', 'id289', 'id788', 'id3856', 'id825', 'id2926', 'id3571', 'id383', 'id2447', 'id3528', 'id1431', 'id4068', 'id214', 'id2154', 'id533', 'id2307', 'id716', 'id2337', 'id1376', 'id1172', 'id1991', 'id457', 'id1660', 'id3515', 'id4204', 'id1473', 'id3380', 'id3554', 'id3933', 'id223', 'id2010', 'id3135', 'id1489', 'id910', 'id245', 'id3270', 'id3025', 'id3900', 'id799', 'id1474', 'id536', 'id189', 'id3217', 'id118', 'id142', 'id1021', 'id2232', 'id1974', 'id124', 'id1507', 'id4020', 'id159', 'id3610', 'id648', 'id3594', 'id2427', 'id1190']",6.0,"['id142', 'id1085', 'id788', 'id3515', 'id2123', 'id4020']"
Omni-MATH_CHUNKED,qwen8b,large,correlation,p10,1,['id3040'],1.0,['id1084']
MMLU-Pro_NOCHUNK,qwen8b,large,cosine,p95,8,"['id4104', 'id4143', 'id5047', 'id4096', 'id10094', 'id9456', 'id4357', 'id3833']",2.0,"['id3833', 'id1734']"
Omni-MATH_CHUNKED,qwen4b,large,cosine,p80,2,"['id189', 'id154']",2.0,"['id1504', 'id1095']"
IFEval,gist,small,seuclidean,p20,1,['id2311'],1.0,['id2311']
MMLU-Pro,gist,small,seuclidean,p95,852,"['id6490', 'id12023', 'id9926', 'id9552', 'id1747', 'id9373', 'id9374', 'id3335', 'id2453', 'id11819', 'id10101', 'id889', 'id8507', 'id4779', 'id4557', 'id5145', 'id9243', 'id6371', 'id7603', 'id11553', 'id4431', 'id8405', 'id3168', 'id7058', 'id7342', 'id11680', 'id7984', 'id9267', 'id4676', 'id7735', 'id10328', 'id6836', 'id11817', 'id5422', 'id3441', 'id9637', 'id8692', 'id6313', 'id10868', 'id2715', 'id12189', 'id8128', 'id717', 'id7855', 'id10316', 'id10701', 'id9410', 'id6920', 'id629', 'id3532', 'id4392', 'id10511', 'id1204', 'id5527', 'id3603', 'id8211', 'id10807', 'id5236', 'id4357', 'id10772', 'id3501', 'id4761', 'id1251', 'id1622', 'id7590', 'id3155', 'id5084', 'id11723', 'id6795', 'id3894', 'id5175', 'id2342', 'id2446', 'id7978', 'id11958', 'id6441', 'id7128', 'id7789', 'id2935', 'id3723', 'id2373', 'id4518', 'id7212', 'id8742', 'id9860', 'id416', 'id1490', 'id1256', 'id6435', 'id3820', 'id7732', 'id6525', 'id7259', 'id11424', 'id2389', 'id10938', 'id1030', 'id6916', 'id10426', 'id1219', 'id1416', 'id9070', 'id4073', 'id10973', 'id11166', 'id12223', 'id11006', 'id3833', 'id2467', 'id1885', 'id4046', 'id8936', 'id1228', 'id8637', 'id197', 'id697', 'id7463', 'id1751', 'id9130', 'id3656', 'id5851', 'id9859', 'id109', 'id2255', 'id2164', 'id11029', 'id2190', 'id6620', 'id4941', 'id292', 'id328', 'id3125', 'id4734', 'id10927', 'id4744', 'id11050', 'id8772', 'id2758', 'id2617', 'id7986', 'id192', 'id4569', 'id8493', 'id6601', 'id6699', 'id5083', 'id1322', 'id2520', 'id5514', 'id4562', 'id11001', 'id5292', 'id4918', 'id10547', 'id5869', 'id4652', 'id217', 'id3139', 'id6917', 'id4499', 'id5233', 'id9276', 'id6546', 'id9089', 'id10744', 'id9546', 'id8989', 'id6164', 'id11428', 'id4282', 'id4289', 'id6975', 'id196', 'id10676', 'id2131', 'id11982', 'id6246', 'id1545', 'id10783', 'id9484', 'id9695', 'id4141', 'id4434', 'id11947', 'id5914', 'id5724', 'id3035', 'id6136', 'id9676', 'id11801', 'id5651', 'id6515', 'id11083', 'id10185', 'id11775', 'id701', 'id2265', 'id11803', 'id1626', 'id10271', 'id3947', 'id11970', 'id4116', 'id9489', 'id4852', 'id10200', 'id4762', 'id5772', 'id1124', 'id9840', 'id12004', 'id9959', 'id7268', 'id7755', 'id9425', 'id1453', 'id9347', 'id10799', 'id1032', 'id3333', 'id6756', 'id7079', 'id2130', 'id12208', 'id3450', 'id5726', 'id7173', 'id11265', 'id5718', 'id10279', 'id6118', 'id10521', 'id11256', 'id9320', 'id473', 'id9306', 'id9029', 'id1178', 'id9640', 'id11998', 'id5973', 'id2849', 'id11091', 'id10814', 'id3933', 'id2917', 'id8434', 'id381', 'id1635', 'id1558', 'id9643', 'id2561', 'id11517', 'id7314', 'id10312', 'id9091', 'id12188', 'id9396', 'id4763', 'id3210', 'id1678', 'id3466', 'id2366', 'id6452', 'id10449', 'id4353', 'id7410', 'id1773', 'id6918', 'id7680', 'id7708', 'id6434', 'id10817', 'id1226', 'id8517', 'id10898', 'id4565', 'id7649', 'id2679', 'id11966', 'id9620', 'id2097', 'id8748', 'id3973', 'id11670', 'id2107', 'id2205', 'id3876', 'id5967', 'id8737', 'id8889', 'id9752', 'id4896', 'id1988', 'id6737', 'id3812', 'id8570', 'id5817', 'id5911', 'id10157', 'id3280', 'id5740', 'id8644', 'id1870', 'id3902', 'id2280', 'id9366', 'id3026', 'id5953', 'id6346', 'id10075', 'id7758', 'id8845', 'id3404', 'id4362', 'id11320', 'id740', 'id11087', 'id10704', 'id2325', 'id6224', 'id7041', 'id3128', 'id9034', 'id1821', 'id3667', 'id1548', 'id8537', 'id4167', 'id6773', 'id2772', 'id7788', 'id2500', 'id4688', 'id8382', 'id10634', 'id542', 'id5569', 'id2321', 'id11028', 'id3502', 'id3703', 'id7718', 'id711', 'id8276', 'id9037', 'id2040', 'id4595', 'id11016', 'id11292', 'id10195', 'id8508', 'id3129', 'id5425', 'id10379', 'id10427', 'id7215', 'id9470', 'id7766', 'id8648', 'id10639', 'id6422', 'id1176', 'id11137', 'id8409', 'id10008', 'id7655', 'id8297', 'id11416', 'id10472', 'id7581', 'id3041', 'id9336', 'id5412', 'id3476', 'id7901', 'id9051', 'id10373', 'id10786', 'id4827', 'id2276', 'id10314', 'id2755', 'id3143', 'id11081', 'id1968', 'id4035', 'id6959', 'id11240', 'id9433', 'id8266', 'id2348', 'id6857', 'id1760', 'id2117', 'id10263', 'id8486', 'id7749', 'id7114', 'id6656', 'id4516', 'id10380', 'id7696', 'id1326', 'id6143', 'id596', 'id6970', 'id5945', 'id2241', 'id3979', 'id5737', 'id4556', 'id1056', 'id11892', 'id790', 'id655', 'id2923', 'id9648', 'id1643', 'id1343', 'id5031', 'id9743', 'id11230', 'id8942', 'id9386', 'id3277', 'id4948', 'id829', 'id7577', 'id260', 'id11024', 'id9253', 'id9255', 'id1557', 'id7293', 'id6722', 'id1186', 'id4678', 'id5215', 'id5848', 'id2083', 'id112', 'id11159', 'id2253', 'id8906', 'id5531', 'id10122', 'id641', 'id11851', 'id6233', 'id616', 'id9305', 'id4096', 'id9116', 'id10659', 'id4238', 'id3094', 'id10283', 'id9943', 'id225', 'id4622', 'id11763', 'id9993', 'id11718', 'id10689', 'id9339', 'id11433', 'id9141', 'id1757', 'id11272', 'id7990', 'id1662', 'id12235', 'id9698', 'id10150', 'id3752', 'id9344', 'id7689', 'id2705', 'id1846', 'id11935', 'id3058', 'id7588', 'id9731', 'id6247', 'id2152', 'id5714', 'id2483', 'id3972', 'id5560', 'id6815', 'id12030', 'id3819', 'id2864', 'id5920', 'id2268', 'id11990', 'id4104', 'id6347', 'id10828', 'id9961', 'id7943', 'id9030', 'id3479', 'id7949', 'id5034', 'id1965', 'id2662', 'id6797', 'id1302', 'id7670', 'id10319', 'id10760', 'id8299', 'id8612', 'id7793', 'id11739', 'id7078', 'id4619', 'id10220', 'id3054', 'id10865', 'id11996', 'id7785', 'id8104', 'id2635', 'id5798', 'id1966', 'id6872', 'id10594', 'id10947', 'id4999', 'id7144', 'id11439', 'id3884', 'id3016', 'id7203', 'id4835', 'id8752', 'id7723', 'id1009', 'id1180', 'id1851', 'id4377', 'id2007', 'id7113', 'id10244', 'id9779', 'id10355', 'id6389', 'id1647', 'id1666', 'id10673', 'id6241', 'id8945', 'id10459', 'id5942', 'id4749', 'id3360', 'id11845', 'id8812', 'id5088', 'id4757', 'id5144', 'id3439', 'id8921', 'id11056', 'id6139', 'id86', 'id1062', 'id10322', 'id6907', 'id5320', 'id2432', 'id4713', 'id5768', 'id7987', 'id6442', 'id11697', 'id7550', 'id6061', 'id10136', 'id10920', 'id4511', 'id7474', 'id2993', 'id7675', 'id7196', 'id10948', 'id6183', 'id3425', 'id3984', 'id6850', 'id10324', 'id9610', 'id1189', 'id3157', 'id3381', 'id900', 'id8686', 'id3150', 'id9019', 'id4801', 'id5045', 'id8296', 'id3580', 'id6220', 'id8476', 'id4480', 'id5335', 'id7736', 'id498', 'id1950', 'id7747', 'id11669', 'id9706', 'id6004', 'id2060', 'id11268', 'id4971', 'id11888', 'id4479', 'id1709', 'id3926', 'id8521', 'id5882', 'id11100', 'id6071', 'id10764', 'id161', 'id6615', 'id7473', 'id3400', 'id7418', 'id5262', 'id9867', 'id5036', 'id452', 'id9346', 'id3355', 'id1632', 'id5047', 'id5224', 'id552', 'id10071', 'id9246', 'id7956', 'id7346', 'id5682', 'id3265', 'id4150', 'id922', 'id8485', 'id9456', 'id1746', 'id8895', 'id1660', 'id1663', 'id4666', 'id9017', 'id5745', 'id7536', 'id2802', 'id8283', 'id2946', 'id10517', 'id8751', 'id3769', 'id12078', 'id11062', 'id3978', 'id2619', 'id2779', 'id10566', 'id3175', 'id3341', 'id8574', 'id3962', 'id7942', 'id6043', 'id1433', 'id728', 'id3529', 'id9324', 'id11249', 'id1878', 'id7440', 'id1441', 'id1686', 'id12252', 'id4020', 'id1494', 'id11905', 'id4148', 'id2671', 'id9765', 'id2472', 'id11822', 'id2614', 'id2867', 'id8161', 'id9740', 'id2630', 'id2505', 'id11900', 'id5232', 'id8749', 'id11537', 'id1072', 'id942', 'id6002', 'id3866', 'id7618', 'id1734', 'id7780', 'id5508', 'id5580', 'id7243', 'id6152', 'id905', 'id1454', 'id8253', 'id9570', 'id470', 'id3560', 'id3199', 'id8770', 'id4143', 'id2493', 'id11164', 'id7905', 'id11874', 'id5632', 'id6653', 'id3641', 'id205', 'id951', 'id8603', 'id1278', 'id5697', 'id1035', 'id562', 'id6824', 'id11040', 'id4531', 'id3412', 'id11572', 'id2742', 'id9579', 'id6506', 'id7217', 'id6893', 'id7325', 'id7280', 'id8541', 'id2353', 'id6783', 'id4765', 'id7936', 'id3222', 'id2218', 'id3982', 'id6637', 'id88', 'id8680', 'id7729', 'id440', 'id1424', 'id10274', 'id5052', 'id3141', 'id9294', 'id1150', 'id4810', 'id4635', 'id3390', 'id8569', 'id3474', 'id6804', 'id11474', 'id2848', 'id1737', 'id12042', 'id7034', 'id7371', 'id8190', 'id10839', 'id7265', 'id7235', 'id8197', 'id7110', 'id2578', 'id10094', 'id3322', 'id6853', 'id10255', 'id885', 'id2886', 'id11372', 'id10978', 'id11503', 'id11934', 'id8899', 'id11058', 'id3488', 'id273', 'id9343', 'id7774', 'id9660', 'id8900', 'id11646', 'id523', 'id9954', 'id11756', 'id2185', 'id4159', 'id4335', 'id347', 'id8310', 'id4085', 'id7138', 'id12242', 'id10753', 'id10050', 'id4721', 'id2407', 'id11191', 'id6412', 'id8631', 'id10145', 'id12007', 'id6708', 'id1470', 'id9105', 'id4659', 'id7706', 'id3395', 'id11291', 'id9688', 'id6927', 'id9890', 'id8360', 'id8393', 'id10640', 'id8288', 'id7969', 'id3847', 'id10356', 'id5260', 'id3873', 'id1167', 'id11749']",47.0,"['id10566', 'id1821', 'id2705', 'id8283', 'id10379', 'id5632', 'id10828', 'id10799', 'id11100', 'id9648', 'id3412', 'id3769', 'id10676', 'id10355', 'id10839', 'id12208', 'id4678', 'id2935', 'id4652', 'id3502', 'id12235', 'id6422', 'id9116', 'id1062', 'id7440', 'id10094', 'id10075', 'id2472', 'id7215', 'id2407', 'id3143', 'id4143', 'id7706', 'id8637', 'id11934', 'id6917', 'id3125', 'id5508', 'id3876', 'id9267', 'id5514', 'id3058', 'id9961', 'id3656', 'id5292', 'id3280', 'id3819']"
GPQA_CHUNKED,nemotron,large,correlation,p10,1,['id14'],1.0,['id100']
GPQA,gist,small,seuclidean,p90,284,"['id171', 'id229', 'id233', 'id381', 'id395', 'id89', 'id227', 'id24', 'id20', 'id5', 'id346', 'id299', 'id103', 'id48', 'id271', 'id21', 'id49', 'id45', 'id125', 'id394', 'id249', 'id156', 'id336', 'id407', 'id59', 'id362', 'id58', 'id51', 'id214', 'id201', 'id131', 'id34', 'id26', 'id4', 'id205', 'id142', 'id6', 'id38', 'id11', 'id104', 'id115', 'id273', 'id10', 'id168', 'id289', 'id196', 'id13', 'id28', 'id311', 'id78', 'id136', 'id66', 'id127', 'id384', 'id2', 'id32', 'id77', 'id133', 'id149', 'id379', 'id47', 'id351', 'id14', 'id415', 'id256', 'id312', 'id36', 'id335', 'id403', 'id254', 'id72', 'id244', 'id27', 'id226', 'id100', 'id37', 'id17', 'id198', 'id40', 'id420', 'id148', 'id163', 'id241', 'id126', 'id7', 'id326', 'id42', 'id110', 'id9', 'id15', 'id8', 'id263', 'id268', 'id262', 'id85', 'id19', 'id62', 'id433', 'id309', 'id419', 'id446', 'id197', 'id122', 'id128', 'id154', 'id144', 'id92', 'id64', 'id114', 'id175', 'id88', 'id60', 'id352', 'id286', 'id98', 'id57', 'id74', 'id56', 'id106', 'id123', 'id121', 'id52', 'id182', 'id297', 'id0', 'id373', 'id296', 'id369', 'id413', 'id35', 'id320', 'id119', 'id145', 'id306', 'id111', 'id135', 'id390', 'id113', 'id280', 'id266', 'id22', 'id265', 'id87', 'id363', 'id170', 'id427', 'id68', 'id63', 'id130', 'id342', 'id97', 'id83', 'id440', 'id137', 'id61', 'id41', 'id141', 'id153', 'id185', 'id71', 'id120', 'id69', 'id172', 'id108', 'id94', 'id194', 'id404', 'id278', 'id118', 'id70', 'id30', 'id224', 'id157', 'id430', 'id328', 'id16', 'id425', 'id257', 'id180', 'id25', 'id338', 'id405', 'id79', 'id147', 'id385', 'id53', 'id112', 'id50', 'id132', 'id334', 'id81', 'id143', 'id99', 'id67', 'id391', 'id86', 'id300', 'id33', 'id39', 'id303', 'id359', 'id365', 'id46', 'id207', 'id44', 'id187', 'id129', 'id138', 'id380', 'id31', 'id269', 'id55', 'id107', 'id140', 'id421', 'id152', 'id392', 'id109', 'id139', 'id295', 'id12', 'id330', 'id220', 'id80', 'id96', 'id408', 'id95', 'id340', 'id438', 'id76', 'id117', 'id275', 'id283', 'id167', 'id18', 'id151', 'id212', 'id73', 'id344', 'id372', 'id232', 'id29', 'id23', 'id146', 'id247', 'id116', 'id368', 'id327', 'id301', 'id1', 'id82', 'id43', 'id243', 'id282', 'id228', 'id337', 'id215', 'id302', 'id276', 'id75', 'id155', 'id423', 'id3', 'id285', 'id91', 'id444', 'id160', 'id417', 'id84', 'id101', 'id134', 'id65', 'id150', 'id410', 'id442', 'id124', 'id90', 'id93', 'id102', 'id429', 'id399', 'id54', 'id193', 'id356']",10.0,"['id26', 'id52', 'id86', 'id156', 'id170', 'id280', 'id286', 'id296', 'id380', 'id427']"
