,instance_name,measure,percentile,Greedy,CPLEX,lb,NUMDS
0,transoptas_5pso,correlation,p80,5,2.0,2.0,
1,deepela_large_r1,cosine,p80,64,2.0,2.0,2.0
2,transoptas_5pso,correlation,p20,1,,,1.0
3,doe2vec,seuclidean,p90,6,2.0,2.0,2.0
4,doe2vec,correlation,p20,3,,,2.0
5,doe2vec,correlation,p95,4544,234.0,234.0,234.0
6,ela,seuclidean,p20,0,8280.0,8280.0,
7,deepela_large_r1,correlation,p95,712,61.0,61.0,61.0
8,ela,cosine,p20,1,,,1.0
9,ela,correlation,p90,93,5.0,5.0,5.0
10,ela,seuclidean,p10,0,8280.0,8280.0,
11,deepela_large_r1,correlation,p80,64,2.0,2.0,2.0
12,ela,correlation,p95,334,6.0,6.0,6.0
13,transoptas_5pso,correlation,p50,5,,,
14,tinytla,cosine,p10,1,,,1.0
15,ela,seuclidean,p80,0,8280.0,8280.0,
16,tinytla,correlation,p95,501,55.0,55.0,55.0
17,tinytla,cosine,p50,102,,,
18,doe2vec,correlation,p50,14,,,2.0
19,deepela_large_r1,seuclidean,p95,1,1.0,1.0,1.0
20,doe2vec,cosine,p80,1520,11.0,8.0,10.0
21,doe2vec,cosine,p95,4533,227.0,227.0,227.0
22,ela,seuclidean,p50,0,8280.0,8280.0,
23,transoptas_5pso,correlation,p95,751,10.0,10.0,10.0
24,deepela_large_r1,seuclidean,p20,1,,,1.0
25,ela,correlation,p50,1,,,1.0
26,tinytla,correlation,p50,102,,,
27,transoptas_5pso,seuclidean,p10,1,,,1.0
28,tinytla,seuclidean,p90,1,1.0,1.0,1.0
29,doe2vec,correlation,p10,2,,,2.0
30,transoptas_5pso,cosine,p20,1,,,1.0
31,ela,cosine,p10,1,,,1.0
32,deepela_large_r1,cosine,p90,117,5.0,5.0,5.0
33,ela,cosine,p90,108,5.0,5.0,5.0
34,doe2vec,seuclidean,p95,10,2.0,2.0,2.0
35,tinytla,cosine,p95,501,50.0,50.0,50.0
36,transoptas_5pso,cosine,p50,5,,,
37,ela,seuclidean,p90,0,8280.0,8280.0,
38,transoptas_5pso,seuclidean,p80,8,2.0,2.0,
39,transoptas_5pso,cosine,p80,5,2.0,2.0,
40,deepela_large_r1,correlation,p20,1,,,1.0
41,ela,correlation,p20,1,,,1.0
42,tinytla,correlation,p90,491,2.0,2.0,
43,ela,correlation,p80,13,2.0,2.0,2.0
44,deepela_large_r1,seuclidean,p50,1,,,1.0
45,tinytla,cosine,p90,491,2.0,2.0,
46,ela,cosine,p95,339,6.0,6.0,6.0
47,deepela_large_r1,cosine,p10,1,,,1.0
48,doe2vec,cosine,p90,3835,42.0,40.0,41.0
49,ela,cosine,p50,1,,,1.0
50,transoptas_5pso,cosine,p95,971,11.0,11.0,11.0
51,deepela_large_r1,seuclidean,p80,1,1.0,1.0,1.0
52,ela,seuclidean,p95,0,8280.0,8280.0,
53,doe2vec,seuclidean,p50,2,,,2.0
54,tinytla,seuclidean,p50,1,,,1.0
55,transoptas_5pso,correlation,p10,1,,,1.0
56,transoptas_5pso,cosine,p90,479,2.0,2.0,
57,tinytla,seuclidean,p10,1,,,1.0
58,doe2vec,seuclidean,p10,2,,,2.0
59,tinytla,correlation,p20,2,,,
60,transoptas_5pso,correlation,p90,477,2.0,2.0,
61,tinytla,seuclidean,p20,1,,,1.0
62,tinytla,seuclidean,p80,1,1.0,1.0,1.0
63,transoptas_5pso,cosine,p10,1,,,1.0
64,doe2vec,seuclidean,p20,2,,,2.0
65,tinytla,correlation,p80,265,2.0,2.0,
66,doe2vec,cosine,p20,5,,,2.0
67,tinytla,cosine,p20,2,,,
68,doe2vec,cosine,p10,2,,,2.0
69,doe2vec,seuclidean,p80,2,2.0,2.0,2.0
70,doe2vec,correlation,p90,3882,42.0,40.0,42.0
71,transoptas_5pso,seuclidean,p90,7,2.0,2.0,
72,doe2vec,cosine,p50,14,,,2.2
73,deepela_large_r1,cosine,p95,746,51.0,51.0,51.0
74,tinytla,cosine,p80,265,2.0,2.0,
75,transoptas_5pso,seuclidean,p20,2,,,
76,doe2vec,correlation,p80,1755,10.0,7.0,10.0
77,deepela_large_r1,correlation,p10,1,,,1.0
78,tinytla,seuclidean,p95,1,1.0,1.0,1.0
79,transoptas_5pso,seuclidean,p95,5,2.0,2.0,
80,deepela_large_r1,cosine,p20,1,,,1.0
81,ela,correlation,p10,1,,,1.0
82,deepela_large_r1,seuclidean,p90,1,1.0,1.0,1.0
83,deepela_large_r1,correlation,p50,2,,,2.0
84,deepela_large_r1,correlation,p90,115,6.0,6.0,6.0
85,transoptas_5pso,seuclidean,p50,2,,,
86,deepela_large_r1,seuclidean,p10,1,,,1.0
87,tinytla,correlation,p10,1,,,1.0
88,ela,cosine,p80,13,2.0,2.0,2.0
89,deepela_large_r1,cosine,p50,2,,,2.0
