fname, nodes, edges, objective, lb
deepela_large_r1_correlation_0.5_alg0.json, 8280, 2956664, 0.0, 8280
deepela_large_r1_correlation_0.5_alg1.json, 8280, 2956664, 9.0, 9
deepela_large_r1_correlation_1.0_alg1.json, 8280, 0, 8280.0, 8280
deepela_large_r1_correlation_2.0_alg1.json, 8280, 0, 8280.0, 8280
deepela_large_r1_cosine_0.5_alg0.json, 8280, 3098158, 0.0, 8280
deepela_large_r1_cosine_0.5_alg1.json, 8280, 3098158, 8.0, 8
deepela_large_r1_cosine_1.0_alg1.json, 8280, 0, 8280.0, 8280
deepela_large_r1_cosine_2.0_alg1.json, 8280, 0, 8280.0, 8280
doe2vec_cosine_2.0_alg1.json, 8280, 0, 8280.0, 8280
ela_correlation_0.1_alg1.json, 8280, 14668778, 1.0, 1
ela_correlation_0.2_alg1.json, 8280, 11121604, 2.0, 2
ela_correlation_0.5_alg1.json, 8280, 5186887, 3.0, 3
ela_correlation_1.0_alg0.json, 8280, 24002, 8272.0, 8272
ela_correlation_1.0_alg1.json, 8280, 24002, 1765.0, 1765
ela_correlation_2.0_alg1.json, 8280, 0, 8280.0, 8280
ela_cosine_0.1_alg1.json, 8280, 14585477, 1.0, 1
ela_cosine_0.2_alg1.json, 8280, 11002315, 2.0, 2
ela_cosine_0.5_alg0.json, 8280, 4974729, 0.0, 8280
ela_cosine_0.5_alg1.json, 8280, 4974729, 3.0, 3
ela_cosine_1.0_alg1.json, 8280, 0, 8280.0, 8280
ela_cosine_2.0_alg1.json, 8280, 0, 8280.0, 8280
ela_seuclidean_0.1_alg1.json, 8280, 0, 8280.0, 8280
ela_seuclidean_0.2_alg1.json, 8280, 0, 8280.0, 8280
ela_seuclidean_0.5_alg1.json, 8280, 0, 8280.0, 8280
ela_seuclidean_1.0_alg1.json, 8280, 0, 8280.0, 8280
ela_seuclidean_2.0_alg1.json, 8280, 0, 8280.0, 8280
tinytla_correlation_0.1_alg0.json, 7845, 9583, 7761.0, 7761
tinytla_correlation_0.1_alg1.json, 7845, 9583, 7335.0, 7335
tinytla_correlation_0.2_alg1.json, 7845, 0, 7845.0, 7845
tinytla_correlation_0.5_alg1.json, 7845, 0, 7845.0, 7845
tinytla_correlation_1.0_alg1.json, 7845, 0, 7845.0, 7845
tinytla_correlation_2.0_alg1.json, 7845, 0, 7845.0, 7845
tinytla_cosine_0.1_alg0.json, 7845, 8988, 7763.0, 7763
tinytla_cosine_0.1_alg1.json, 7845, 8988, 7349.0, 7349
tinytla_cosine_0.2_alg1.json, 7845, 0, 7845.0, 7845
tinytla_cosine_0.5_alg1.json, 7845, 0, 7845.0, 7845
tinytla_cosine_1.0_alg1.json, 7845, 0, 7845.0, 7845
tinytla_cosine_2.0_alg1.json, 7845, 0, 7845.0, 7845
tinytla_seuclidean_0.1_alg1.json, 7845, 0, 7845.0, 7845
tinytla_seuclidean_0.2_alg1.json, 7845, 0, 7845.0, 7845
tinytla_seuclidean_0.5_alg1.json, 7845, 0, 7845.0, 7845
tinytla_seuclidean_1.0_alg1.json, 7845, 0, 7845.0, 7845
tinytla_seuclidean_2.0_alg1.json, 7845, 0, 7845.0, 7845
transoptas_5pso_correlation_0.5_alg1.json, 8280, 8642262, 2.0, 2
transoptas_5pso_correlation_1.0_alg0.json, 8280, 1320400, 7232.0, 7232
transoptas_5pso_correlation_1.0_alg1.json, 8280, 1320400, 56.0, 56
transoptas_5pso_correlation_2.0_alg1.json, 8280, 0, 8280.0, 8280
transoptas_5pso_cosine_0.5_alg1.json, 8280, 8660613, 2.0, 2
transoptas_5pso_cosine_1.0_alg0.json, 8280, 1320891, 7227.0, 7227
transoptas_5pso_cosine_1.0_alg1.json, 8280, 1320891, 56.0, 56
transoptas_5pso_cosine_2.0_alg1.json, 8280, 0, 8280.0, 8280
