file seed objective
ela_correlation_p80 40 2
transoptas_5pso_cosine_p95 10 11
doe2vec_cosine_p50 30 2
deepela_large_r1_cosine_p10 10 1
doe2vec_correlation_p50 40 2
tinytla_seuclidean_p20 30 1
deepela_large_r1_seuclidean_p95 50 1
tinytla_seuclidean_p95 20 1
ela_cosine_p90 10 5
transoptas_5pso_seuclidean_p10 50 1
deepela_large_r1_correlation_p90 10 6
deepela_large_r1_correlation_p80 50 2
deepela_large_r1_correlation_p95 20 61
transoptas_5pso_seuclidean_p10 30 1
ela_cosine_p20 10 1
doe2vec_cosine_p90 40 41
deepela_large_r1_correlation_p80 30 2
tinytla_seuclidean_p20 10 1
ela_cosine_p80 30 2
doe2vec_cosine_p10 50 2
deepela_large_r1_correlation_p95 10 61
deepela_large_r1_cosine_p10 50 1
doe2vec_cosine_p95 50 227
deepela_large_r1_correlation_p20 40 1
ela_cosine_p80 10 2
deepela_large_r1_correlation_p50 50 2
ela_cosine_p90 50 5
doe2vec_seuclidean_p95 30 2
transoptas_5pso_correlation_p10 30 1
transoptas_5pso_cosine_p10 40 1
deepela_large_r1_seuclidean_p10 10 1
ela_cosine_p80 20 2
deepela_large_r1_cosine_p90 50 5
transoptas_5pso_cosine_p20 40 1
ela_cosine_p50 40 1
deepela_large_r1_cosine_p95 30 51
deepela_large_r1_seuclidean_p20 30 1
ela_cosine_p50 50 1
ela_correlation_p20 20 1
ela_correlation_p50 10 1
doe2vec_seuclidean_p95 20 2
ela_correlation_p90 40 5
doe2vec_seuclidean_p50 40 2
tinytla_correlation_p95 10 55
doe2vec_seuclidean_p10 40 2
deepela_large_r1_correlation_p10 10 1
ela_correlation_p10 50 1
doe2vec_correlation_p80 40 10
tinytla_seuclidean_p50 50 1
deepela_large_r1_seuclidean_p90 30 1
tinytla_seuclidean_p80 40 1
transoptas_5pso_cosine_p20 10 1
tinytla_seuclidean_p10 10 1
deepela_large_r1_cosine_p80 10 2
ela_correlation_p50 30 1
doe2vec_seuclidean_p50 20 2
transoptas_5pso_correlation_p20 20 1
ela_cosine_p10 30 1
transoptas_5pso_cosine_p20 50 1
doe2vec_seuclidean_p20 40 2
ela_cosine_p10 10 1
deepela_large_r1_cosine_p80 20 2
doe2vec_seuclidean_p80 10 2
tinytla_seuclidean_p80 50 1
tinytla_cosine_p95 40 50
doe2vec_cosine_p95 40 227
transoptas_5pso_cosine_p95 20 11
deepela_large_r1_seuclidean_p20 40 1
deepela_large_r1_seuclidean_p95 10 1
tinytla_correlation_p10 30 1
ela_correlation_p95 40 6
doe2vec_cosine_p50 20 2
ela_correlation_p50 40 1
deepela_large_r1_seuclidean_p20 20 1
doe2vec_cosine_p90 50 41
tinytla_seuclidean_p80 30 1
deepela_large_r1_correlation_p50 40 2
doe2vec_correlation_p50 10 2
doe2vec_seuclidean_p10 50 2
doe2vec_correlation_p10 50 2
deepela_large_r1_correlation_p90 50 6
deepela_large_r1_cosine_p50 30 2
deepela_large_r1_cosine_p20 30 1
deepela_large_r1_seuclidean_p90 50 1
deepela_large_r1_correlation_p50 20 2
doe2vec_cosine_p20 50 2
doe2vec_seuclidean_p50 10 2
doe2vec_seuclidean_p20 30 2
doe2vec_seuclidean_p90 40 2
doe2vec_seuclidean_p90 30 2
deepela_large_r1_correlation_p20 30 1
ela_cosine_p20 30 1
deepela_large_r1_cosine_p10 30 1
doe2vec_correlation_p20 20 2
doe2vec_cosine_p20 40 2
deepela_large_r1_cosine_p50 40 2
ela_correlation_p10 40 1
deepela_large_r1_cosine_p95 20 51
tinytla_seuclidean_p80 20 1
deepela_large_r1_cosine_p20 10 1
ela_cosine_p50 30 1
doe2vec_seuclidean_p80 40 2
tinytla_seuclidean_p90 10 1
doe2vec_seuclidean_p10 20 2
transoptas_5pso_cosine_p10 10 1
deepela_large_r1_cosine_p80 40 2
deepela_large_r1_cosine_p50 10 2
doe2vec_correlation_p95 10 234
deepela_large_r1_seuclidean_p90 20 1
transoptas_5pso_correlation_p10 10 1
deepela_large_r1_cosine_p20 40 1
doe2vec_correlation_p10 40 2
doe2vec_seuclidean_p20 50 2
deepela_large_r1_seuclidean_p95 20 1
transoptas_5pso_correlation_p10 40 1
tinytla_correlation_p95 50 55
tinytla_seuclidean_p90 40 1
deepela_large_r1_correlation_p95 30 61
transoptas_5pso_cosine_p95 50 11
ela_correlation_p80 20 2
ela_correlation_p80 30 2
deepela_large_r1_seuclidean_p10 50 1
deepela_large_r1_correlation_p90 30 6
deepela_large_r1_seuclidean_p95 30 1
tinytla_cosine_p10 50 1
transoptas_5pso_correlation_p20 30 1
ela_correlation_p90 10 5
doe2vec_cosine_p95 10 227
transoptas_5pso_cosine_p20 30 1
ela_correlation_p95 30 6
ela_cosine_p90 20 5
ela_cosine_p50 20 1
doe2vec_correlation_p10 20 2
doe2vec_cosine_p80 40 10
tinytla_seuclidean_p95 40 1
doe2vec_correlation_p20 40 2
ela_correlation_p10 10 1
ela_cosine_p80 50 2
doe2vec_correlation_p50 30 2
doe2vec_cosine_p50 10 3
deepela_large_r1_seuclidean_p80 30 1
deepela_large_r1_seuclidean_p90 40 1
doe2vec_correlation_p20 30 2
tinytla_seuclidean_p80 10 1
tinytla_seuclidean_p10 50 1
tinytla_seuclidean_p95 50 1
doe2vec_cosine_p20 10 2
transoptas_5pso_correlation_p95 50 10
doe2vec_cosine_p90 10 41
ela_correlation_p50 20 1
tinytla_seuclidean_p20 40 1
ela_cosine_p10 40 1
tinytla_cosine_p10 30 1
doe2vec_seuclidean_p10 30 2
transoptas_5pso_seuclidean_p10 20 1
transoptas_5pso_correlation_p10 50 1
doe2vec_seuclidean_p50 30 2
ela_cosine_p20 50 1
doe2vec_seuclidean_p90 10 2
tinytla_seuclidean_p90 20 1
ela_correlation_p80 50 2
deepela_large_r1_correlation_p80 10 2
deepela_large_r1_correlation_p95 50 61
tinytla_cosine_p95 10 50
deepela_large_r1_cosine_p20 50 1
tinytla_cosine_p95 20 50
ela_correlation_p95 10 6
deepela_large_r1_correlation_p50 10 2
doe2vec_seuclidean_p95 50 2
tinytla_seuclidean_p10 40 1
doe2vec_seuclidean_p95 10 2
tinytla_seuclidean_p90 30 1
doe2vec_correlation_p50 20 2
ela_cosine_p20 20 1
ela_correlation_p90 30 5
ela_cosine_p95 30 6
deepela_large_r1_cosine_p10 40 1
ela_correlation_p90 50 5
doe2vec_cosine_p95 30 227
doe2vec_correlation_p90 50 42
deepela_large_r1_correlation_p90 20 6
deepela_large_r1_seuclidean_p50 40 1
transoptas_5pso_correlation_p95 10 10
deepela_large_r1_cosine_p90 20 5
deepela_large_r1_seuclidean_p20 50 1
deepela_large_r1_seuclidean_p90 10 1
tinytla_seuclidean_p10 30 1
deepela_large_r1_seuclidean_p10 40 1
transoptas_5pso_correlation_p10 20 1
doe2vec_seuclidean_p95 40 2
