file, solution, objective
deepela_large_r1_correlation_p10_seed30_t600_redumis.out, [ ... ], 505
deepela_large_r1_correlation_p10_seed40_t600_redumis.out, [ ... ], 505
deepela_large_r1_correlation_p10_seed50_t600_redumis.out, [ ... ], 505
deepela_large_r1_correlation_p20_seed20_t600_redumis.out, [ ... ], 1055
deepela_large_r1_correlation_p20_seed50_t600_redumis.out, [ ... ], 1055
deepela_large_r1_correlation_p50_seed30_t600_redumis.out, [ ... ], 2553
deepela_large_r1_correlation_p50_seed40_t600_redumis.out, [ ... ], 2553
deepela_large_r1_correlation_p50_seed50_t600_redumis.out, [ ... ], 2553
deepela_large_r1_correlation_p80_10.out, [], 0
deepela_large_r1_correlation_p80_20.out, [], 0
deepela_large_r1_correlation_p80_40.out, [], 0
deepela_large_r1_correlation_p80_seed20_t600_redumis.out, [ ... ], 4249
deepela_large_r1_correlation_p80_seed30_t600_redumis.out, [ ... ], 4249
deepela_large_r1_correlation_p80_seed40_t600_redumis.out, [ ... ], 4249
deepela_large_r1_correlation_p80_seed50_t600_redumis.out, [ ... ], 4249
deepela_large_r1_correlation_p90_10.out, [], 0
deepela_large_r1_correlation_p90_20.out, [], 0
deepela_large_r1_correlation_p90_30.out, [], 0
deepela_large_r1_correlation_p90_40.out, [], 0
deepela_large_r1_correlation_p90_50.out, [], 0
deepela_large_r1_correlation_p90_seed20_t600_redumis.out, [ ... ], 5103
deepela_large_r1_correlation_p90_seed30_t600_redumis.out, [ ... ], 5103
deepela_large_r1_correlation_p90_seed40_t600_redumis.out, [ ... ], 5103
deepela_large_r1_correlation_p90_seed50_t600_redumis.out, [ ... ], 5103
deepela_large_r1_correlation_p95_10.out, [ ... ], 5862
deepela_large_r1_correlation_p95_20.out, [ ... ], 5862
deepela_large_r1_correlation_p95_30.out, [ ... ], 5862
deepela_large_r1_correlation_p95_40.out, [ ... ], 5862
deepela_large_r1_correlation_p95_50.out, [ ... ], 5862
deepela_large_r1_correlation_p95_seed20_t600_redumis.out, [ ... ], 5862
deepela_large_r1_correlation_p95_seed30_t600_redumis.out, [ ... ], 5862
deepela_large_r1_correlation_p95_seed40_t600_redumis.out, [ ... ], 5862
deepela_large_r1_correlation_p95_seed50_t600_redumis.out, [ ... ], 5862
deepela_large_r1_cosine_p10_seed40_t600_redumis.out, [ ... ], 508
deepela_large_r1_cosine_p10_seed50_t600_redumis.out, [ ... ], 508
deepela_large_r1_cosine_p20_seed30_t600_redumis.out, [ ... ], 1049
deepela_large_r1_cosine_p20_seed40_t600_redumis.out, [ ... ], 1049
deepela_large_r1_cosine_p20_seed50_t600_redumis.out, [ ... ], 1049
deepela_large_r1_cosine_p50_20.out, [], 0
deepela_large_r1_cosine_p50_seed20_t600_redumis.out, [ ... ], 2549
deepela_large_r1_cosine_p50_seed30_t600_redumis.out, [ ... ], 2549
deepela_large_r1_cosine_p50_seed40_t600_redumis.out, [ ... ], 2553
deepela_large_r1_cosine_p50_seed50_t600_redumis.out, [ ... ], 2553
