f,doe2vec_0,doe2vec_1,doe2vec_2,doe2vec_3,doe2vec_4,doe2vec_5,doe2vec_6,doe2vec_7,doe2vec_8,doe2vec_9,doe2vec_10,doe2vec_11,doe2vec_12,doe2vec_13,doe2vec_14,doe2vec_15,doe2vec_16,doe2vec_17,doe2vec_18,doe2vec_19,doe2vec_20,doe2vec_21,doe2vec_22,doe2vec_23,doe2vec_24,doe2vec_25,doe2vec_26,doe2vec_27,doe2vec_28,doe2vec_29,doe2vec_30,doe2vec_31
p10_p11_i1_i1_a0.25,1.422822,0.65243804,-0.70490587,-0.094759956,-0.07413503,0.059689626,-0.4576774,-0.065806404,-0.23960927,-0.50794405,-0.07075487,-0.0067539783,0.06677664,0.047553644,-0.054718494,-0.0046681883,-0.21995631,-0.08396244,-0.0033396753,-0.0326699,0.61531603,-0.14245975,0.02941643,-0.85191196,-0.03456112,-1.6432197,0.8404068,0.71879864,0.10455954,-2.3083472,0.8764394,-0.0016914634
p10_p11_i1_i1_a0.5,1.4446632,0.7836317,-0.7532016,0.102167726,-0.03728932,0.04404683,-0.6381372,-0.065299794,-0.28123552,-0.51922196,-0.049640395,0.004776297,0.06130034,0.04846744,-0.4893452,0.0012635454,-0.15915433,-0.09862454,-0.0075972304,0.06563574,0.6178744,0.40581924,0.0009945147,-0.89746207,0.0014478979,-1.5775038,1.0922998,0.5748511,0.10681001,-2.4334357,0.7232162,0.015949357
p10_p11_i1_i1_a0.75,1.4832075,0.78654414,-0.7805667,0.23999232,-0.13749123,0.010769973,-0.65569985,-0.06635775,-0.3201142,-0.6363295,-0.04881026,0.020530421,0.056469586,0.061152715,-0.8219448,0.0014191554,-0.21554014,-0.0845747,-0.006773317,0.11530602,0.59213495,0.92990345,-0.012005022,-0.97980887,0.024802916,-1.4969501,1.1818086,0.50730014,0.12029441,-2.5265899,0.59229845,0.025865048
p10_p11_i2_i2_a0.25,-0.44020927,1.5877856,0.3888133,-0.39205623,1.1731148,-0.052923203,1.1419947,0.012194622,-0.38719577,1.6620405,0.07569381,0.07181325,-0.078461744,0.06659642,-1.9198861,-0.01936591,0.3631399,-0.029863048,0.13150239,0.3429621,0.2515728,-0.42530578,0.06399873,0.97793514,0.02968492,-1.4343472,-0.6937696,0.18274403,0.034231566,1.1950082,0.0635456,0.118561685
p10_p11_i2_i2_a0.5,-0.39449033,0.8832117,0.50272226,-0.42199183,0.61969554,-0.055681817,0.46428025,0.029218532,-0.4468709,1.7526832,0.12635797,0.0021171197,-0.060636718,0.0664078,-1.449795,-0.019851696,0.67889786,-0.062070727,0.13474162,0.27357072,-0.12506628,-0.37290454,0.05576253,0.8278184,-0.017817626,-1.3837184,-1.4507594,0.44154185,0.009900703,2.0301485,0.2870186,0.15731102
p10_p11_i2_i2_a0.75,-0.4008956,0.2003034,0.90526915,-0.48790365,0.46539003,-0.0034391377,0.39466026,0.06458944,-0.23392086,2.1200745,0.12394336,0.020843197,-0.009109666,0.09790315,-0.36186272,-0.017435584,0.34045923,-0.060323186,0.10809482,0.30806726,-0.74990904,-0.3975153,-0.012683293,0.035136465,-0.01884254,-1.1582884,-2.1071627,0.45322478,-0.010544169,3.1640825,0.5731467,0.15550435
p10_p11_i3_i3_a0.25,0.091699004,0.21559168,-0.76173997,0.13715398,0.8177302,-0.011176266,0.19479026,-0.0539312,-0.46251163,0.97334176,-0.054653503,0.005433864,-0.020663861,0.054339655,-1.4187801,0.033387087,-0.2732055,-0.10534015,0.027918847,0.3513974,1.028316,0.61978984,0.071702726,-0.85582197,0.0076911002,-1.422504,-0.65603065,0.81371105,0.033995662,0.39342117,-0.18721132,0.09280441
p10_p11_i3_i3_a0.5,0.9575683,0.043852866,-0.5161427,0.63034487,0.1300779,-0.0014357176,-0.025413435,-0.055614565,-0.1986703,0.1690395,-0.073636636,0.017977633,-0.018352184,0.0834384,-1.1588383,-0.0018982952,0.113159746,-0.08337428,-0.011430526,0.29858315,1.0132807,0.97227347,0.011592052,-0.3510749,0.020105679,-1.2605314,-0.39323023,0.45109138,-0.0032040644,0.1881308,-0.30068076,0.092813425
p10_p11_i3_i3_a0.75,1.5283452,-0.42340624,-0.1300313,1.1497219,-0.21398324,-0.014279446,-0.431039,-0.071771264,-0.21681485,-0.02359378,-0.047508977,0.019043457,-0.013526461,0.07250528,-0.7419796,-0.023152743,-0.27324435,-0.102081075,-0.02329634,0.22839725,0.6669551,1.2842903,-0.0051429495,0.21704414,-0.0073129083,-1.3484577,0.36277267,0.4341735,0.018521257,-0.3427,-0.3964184,0.105073564
p10_p11_i4_i4_a0.25,-0.05428621,-0.014572188,-0.9607285,0.36210808,-0.6500416,-0.020275941,-0.61411,-0.053310316,-0.97203875,-0.44456944,-0.026016727,-0.05480769,0.0022883601,0.10376719,-1.0882607,-0.022697572,0.3533342,-0.04154642,0.056492895,0.17622173,-0.7815159,1.3570926,0.06809659,0.0033637285,0.053518787,-1.5267615,1.3098334,1.2960777,0.026050176,0.15007147,0.29709262,0.02577722
